RACE_TRACK,RACE_DATE,POS,DRIVER,CAR,MANUFACTURER,LAPS,START,LED,PTS,BONUS,PENALTY
Atlanta,2021-07-11 00:00:00,16,Chris Buescher,17,Ford,260,18,0,21,0,0
Atlanta,2021-07-11 00:00:00,17,Cole Custer,41,Ford,260,23,1,20,0,0
Atlanta,2021-07-11 00:00:00,18,Kyle Larson,5,Chevrolet,260,6,0,31,0,12
Atlanta,2021-07-11 00:00:00,19,Joey Logano,22,Ford,259,10,0,22,0,4
Atlanta,2021-07-11 00:00:00,20,William Byron,24,Chevrolet,259,19,0,20,0,3
Atlanta,2021-07-11 00:00:00,21,Ross Chastain,42,Chevrolet,259,9,0,16,0,0
Atlanta,2021-07-11 00:00:00,22,Corey LaJoie,7,Chevrolet,258,26,0,15,0,0
Atlanta,2021-07-11 00:00:00,23,Aric Almirola,10,Ford,258,20,8,14,0,0
Atlanta,2021-07-11 00:00:00,24,Erik Jones,43,Chevrolet,258,22,0,13,0,0
Atlanta,2021-07-11 00:00:00,25,Ryan Preece,37,Chevrolet,258,34,1,12,0,0
Atlanta,2021-07-11 00:00:00,26,Anthony Alfredo,38,Ford,257,32,0,11,0,0
Atlanta,2021-07-11 00:00:00,27,Michael McDowell,34,Ford,256,25,0,10,0,0
Atlanta,2021-07-11 00:00:00,28,Ryan Newman,6,Ford,256,29,0,9,0,0
Atlanta,2021-07-11 00:00:00,29,Justin Haley,77,Chevrolet,255,28,0,0,0,0
Atlanta,2021-07-11 00:00:00,30,B.J. McLeod,78,Ford,254,36,0,0,0,0
Atlanta,2021-07-11 00:00:00,31,Garrett Smithley,53,Chevrolet,253,37,0,0,0,0
Atlanta,2021-07-11 00:00:00,32,Bayley Currey,15,Chevrolet,253,33,0,0,0,0
Atlanta,2021-07-11 00:00:00,33,Cody Ware,51,Chevrolet,253,31,0,0,0,0
Atlanta,2021-07-11 00:00:00,34,Josh Bilicki,52,Ford,248,30,0,3,0,0
Atlanta,2021-07-11 00:00:00,35,Quin Houff,00,Chevrolet,248,35,0,2,0,0
Atlanta,2021-07-11 00:00:00,36,Daniel Suarez,99,Chevrolet,243,27,0,1,0,0
Atlanta,2021-07-11 00:00:00,37,Ricky Stenhouse Jr.,47,Chevrolet,178,16,0,1,0,0
Bristol,2021-03-28 00:00:00,1,Joey Logano,22,Ford,253,10,61,55,0,15
Bristol,2021-03-28 00:00:00,2,Ricky Stenhouse Jr.,47,Chevrolet,253,13,0,42,0,7
Bristol,2021-03-28 00:00:00,3,Denny Hamlin,11,Toyota,253,2,1,50,0,16
Bristol,2021-03-28 00:00:00,4,Daniel Suarez,99,Chevrolet,253,18,58,49,0,16
Bristol,2021-03-28 00:00:00,5,Ryan Newman,6,Ford,253,14,0,41,0,9
Bristol,2021-03-28 00:00:00,6,William Byron,24,Chevrolet,253,8,0,40,0,9
Bristol,2021-03-28 00:00:00,7,Tyler Reddick,8,Chevrolet,253,27,0,32,0,2
Bristol,2021-03-28 00:00:00,8,Ryan Blaney,12,Ford,253,3,0,35,0,6
Bristol,2021-03-28 00:00:00,9,Erik Jones,43,Chevrolet,253,24,0,31,0,3
Bristol,2021-03-28 00:00:00,10,Chase Elliott,9,Chevrolet,253,26,0,28,0,1
Bristol,2021-03-28 00:00:00,11,Brad Keselowski,2,Ford,253,20,0,26,0,0
Bristol,2021-03-28 00:00:00,12,Michael McDowell,34,Ford,253,16,0,25,0,0
Bristol,2021-03-28 00:00:00,13,Matt DiBenedetto,21,Ford,253,12,0,24,0,0
Bristol,2021-03-28 00:00:00,14,Chris Buescher,17,Ford,253,11,0,24,0,1
Bristol,2021-03-28 00:00:00,15,Kevin Harvick,4,Ford,253,6,0,22,0,0
Bristol,2021-03-28 00:00:00,16,Kurt Busch,1,Chevrolet,253,28,0,21,0,0
